iter	Passed	Remaining
0	0	87
1	1	72
2	2	64
3	2	58
4	2	56
5	3	56
6	4	55
7	4	53
8	5	54
9	5	53
10	6	52
11	7	52
12	7	51
13	8	51
14	8	50
15	9	50
16	10	49
17	10	48
18	11	48
19	11	47
20	12	47
21	13	46
22	13	45
23	14	45
24	14	44
25	15	43
26	15	42
27	16	42
28	17	42
29	17	41
30	18	40
31	18	40
32	19	40
33	20	39
34	21	39
35	21	38
36	22	37
37	22	37
38	23	36
39	24	36
40	24	35
41	24	34
42	25	33
43	26	33
44	26	32
45	27	31
46	27	31
47	28	30
48	28	30
49	29	29
50	30	28
51	30	28
52	31	27
53	31	27
54	32	26
55	32	25
56	33	25
57	33	24
58	34	23
59	35	23
60	35	22
61	36	22
62	36	21
63	37	21
64	38	20
65	38	19
66	39	19
67	40	18
68	41	18
69	42	18
70	43	17
71	43	16
72	44	16
73	44	15
74	45	15
75	45	14
76	46	13
77	46	13
78	47	12
79	48	12
80	48	11
81	49	10
82	50	10
83	50	9
84	51	9
85	51	8
86	52	7
87	52	7
88	53	6
89	54	6
90	54	5
91	55	4
92	55	4
93	56	3
94	56	2
95	57	2
96	57	1
97	58	1
98	58	0
99	59	0
